FraNode,MyNode,nDups,Lon,Lat
337049,1949,3,-108.555907,39.062632
337050,1950,1,-108.555045,39.062805
337099,1951,3,-108.537396,41.559775
337187,1952,1,-108.482147,45.782388
337188,1953,3,-108.481608,45.791907
337190,1954,3,-108.475688,35.497897
337220,1955,1,-108.430782,46.269696
337287,1956,3,-108.316272,39.150092
337290,1957,2,-108.311579,39.153907
337291,1958,3,-108.31143,45.891727
337299,1959,1,-108.307875,39.159378
337306,1960,3,-108.290175,35.418318
337315,1961,3,-108.276799,41.622389
337332,1962,3,-108.255552,45.920702
337336,1963,3,-108.249384,45.915267
337347,1964,3,-108.217191,35.399833
337375,1965,1,-108.18204,32.61607
337408,1966,3,-108.139236,32.584633
337410,1967,3,-108.13698,32.58541
337411,1968,3,-108.13635,32.582839
337469,1969,1,-108.116927,43.232738
337472,1970,3,-108.115407,32.77848
337483,1971,3,-108.103983,35.382197
337488,1972,3,-108.099928,43.235065
337491,1973,3,-108.096611,43.237816
337496,1974,3,-108.094213,43.235826
337498,1975,3,-108.093641,35.387084
337500,1976,1,-108.092964,39.474101
337501,1977,1,-108.092271,43.236088
337503,1978,1,-108.091644,39.474342
337506,1979,3,-108.089407,35.378576
337507,1980,3,-108.089378,38.746213
337509,1981,3,-108.087496,39.472417
337525,1982,3,-108.080633,38.73945
337535,1983,1,-108.07926,32.84948
337543,1984,3,-108.077802,38.736836
337566,1985,1,-108.074227,32.792939
337589,1986,3,-108.062168,43.264982
337602,1987,3,-108.058581,35.370528
337618,1988,3,-108.044133,39.460372
337619,1989,3,-108.043933,39.457916
337620,1990,3,-108.043369,39.458804
337621,1991,3,-108.041009,39.461023
337624,1992,3,-108.039099,35.363807
337630,1993,3,-108.026494,35.367122
337631,1994,3,-108.023058,35.423061
337632,1995,3,-108.01989,35.356487
337637,1996,3,-108.008618,39.474681
337736,1997,1,-107.8718,38.46555
337771,1998,1,-107.803191,40.31449
337780,1999,3,-107.77374,32.269488
337784,2000,3,-107.771702,32.270128
337814,2001,3,-107.752063,32.272163
337825,2002,3,-107.743489,32.275621
337843,2003,1,-107.678784,35.485472
337854,2004,3,-107.662717,43.258119
337858,2005,1,-107.657693,40.421044
337862,2006,3,-107.652271,40.440563
337873,2007,1,-107.601937,40.454379
337875,2008,1,-107.601841,45.758263
337876,2009,3,-107.601164,45.732009
337880,2010,1,-107.596807,43.278205
337883,2011,3,-107.595369,40.463752
337885,2012,3,-107.594217,40.460952
337886,2013,1,-107.593389,40.464299
337887,2014,1,-107.593365,40.464775
337890,2015,1,-107.586684,40.463987
337891,2016,3,-107.582274,40.460962
337899,2017,3,-107.569601,40.497512
337912,2018,3,-107.54761,40.5042
337934,2019,3,-107.519536,40.510122
337961,2020,1,-107.426922,38.929198
337986,2021,2,-107.350807,45.001093
338004,2022,3,-107.329725,39.548932
338007,2023,3,-107.326008,39.548035
338066,2024,1,-107.186523,40.485336
338072,2025,3,-107.166292,40.494107
338082,2026,3,-107.14347,46.294272
338087,2027,3,-107.127481,34.929469
338116,2028,2,-107.08677,45.810166
338117,2029,1,-107.084171,40.336313
338120,2030,1,-107.079103,45.804012
338127,2031,3,-107.069052,32.669428
338129,2032,3,-107.066081,32.669114
338130,2033,1,-107.065747,40.350936
338131,2034,3,-107.065472,32.671567
338145,2035,3,-107.057342,39.641974
