energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
50% CO2 reduction by 2050,Agricultural Shift,2025,south_west,biodiesel,5.101696135,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,south_west,catenary,0.143625963,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,south_west,battery,0.143625963,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,texas,diesel,3.25,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,texas,hydrogen,4.709585575,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2025,texas,biodiesel,7.186781051,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2025,texas,catenary,0.155113971,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2025,texas,battery,0.155113971,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,california,diesel,3.72,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,california,hydrogen,3.158372643,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,california,biodiesel,4.168141429,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,california,catenary,0.14043314,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,california,battery,0.14043314,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,central,diesel,3.84,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,central,hydrogen,2.858154355,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,central,biodiesel,5.0840597,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,central,catenary,0.082635996,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,central,battery,0.082635996,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,middle_atlantic,diesel,4.05,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,middle_atlantic,hydrogen,2.842622681,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,middle_atlantic,biodiesel,6.161658905,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,middle_atlantic,catenary,0.082465012,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,middle_atlantic,battery,0.082465012,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,north_central,diesel,4.16,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,north_central,hydrogen,2.854068005,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,north_central,biodiesel,5.069642928,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,north_central,catenary,0.082189181,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,north_central,battery,0.082189181,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,north_east,diesel,4.02,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,north_east,hydrogen,3.130004564,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,north_east,biodiesel,5.748620748,$/gallon
