Dist(mi),SpdLim(mph),Grade(%),Curve(Doc),Catenary(Y/N),Elev
133.398191,49.40845742,3.176,2.341,1,3013.947532
133.703414,57.47356482,1.232,1.73,0,3033.796281
134.0070873,40.40274462,1.728,3.501,0,3061.500717
134.3082889,55.96669196,3.176,1.824,1,3112.005057
134.6050662,46.77622014,0.712,2.612,0,3123.156444
134.9036132,60.0,0.181,1.462,0,3126.01394
135.1994082,30.38386279,2.479,6.19,1,3164.723329
135.5081706,42.95155749,2.652,3.097,1,3207.950532
135.8041613,34.48910498,2.535,4.804,1,3247.567795
136.0883956,39.49653781,0.525,3.663,0,3255.442591
136.3375558,54.95287631,0.076,1.892,0,3256.438349
136.5867159,60.0,6.7,1.421,1,3344.587686
136.8547263,31.08435893,2.523,5.914,1,3380.28428
137.1546502,60.0,0.138,0.799,0,3382.463747
137.4647075,55.74663025,2.066,1.839,1,3416.279378
137.7745393,60.0,-0.589,0.57,0,3406.645992
138.0842331,60.0,2.267,1.304,1,3443.719492
138.3930234,60.0,3.282,1.255,1,3497.228418
138.6975685,44.12861988,1.523,2.934,0,3521.72081
139.0040964,31.05908987,2.424,5.924,1,3560.955912
139.3135317,60.0,1.996,0.606,0,3593.569844
139.6062192,47.79689465,1.064,2.501,0,3610.011034
139.9085957,32.48451142,3.104,5.415,1,3659.56503
140.1738137,34.43258037,2.896,4.82,1,3700.125636
140.4542421,54.68463865,2.917,1.911,1,3743.317731
140.7567609,46.14524712,1.679,2.684,0,3770.130715
141.0462801,51.2049252,2.997,2.179,1,3815.951522
141.339277,47.04071071,0.606,2.582,0,3825.325089
141.6321301,60.0,0.021,0.522,0,3825.648247
141.9249832,29.64634123,3.396,6.502,1,3878.160317
142.1306432,44.7896177,0.114,2.848,0,3879.397549
142.3363032,28.66259549,0.278,6.956,0,3882.418716
142.5419633,46.45491724,0.106,2.648,0,3883.568834
142.7476233,29.47344917,0.263,6.578,0,3886.426055
142.9532833,56.36933346,0.072,1.798,0,3887.207179
143.1589433,42.11250041,0.129,3.222,0,3888.606713
143.3646034,60.0,0.022,0.559,0,3888.849484
143.5702634,28.74330082,0.277,6.917,0,3891.853709
143.7759234,25.45741415,0.353,8.817,0,3895.683519
143.9815835,60.0,0.039,0.982,0,3896.109941
144.1872435,29.87693962,0.256,6.402,0,3898.890509
144.3929035,60.0,0.059,1.474,0,3899.530638
144.5985635,60.0,0.033,0.824,0,3899.888558
144.8042236,34.88979422,0.188,4.694,0,3901.927519
145.0098836,37.40950922,0.163,4.083,0,3903.701062
145.2155436,54.21247148,0.078,1.944,0,3904.545577
145.4212037,28.60504211,0.279,6.984,0,3907.578914
145.6268637,38.24119843,0.156,3.907,0,3909.276152
145.8325237,53.74167709,0.079,1.979,0,3910.135528
146.0381837,32.41533513,0.218,5.438,0,3912.497663
146.2438438,60.0,0.009,0.213,0,3912.589971
146.4495038,60.0,0.027,0.681,0,3912.885805
146.6551638,32.23785752,1.018,5.498,0,3923.936419
